country,happiness_rank,happiness_score,upper_confidence_interval,lower_confidence_interval,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,dystopia_residual,logged_gdp_per_capita,region
Russia,49.0,5.96299982070923,6.03027490749955,5.89572473391891,1.46928238868713,42.29915651321414,0.373783111572266,0.0522638224065304,0.0329628810286522,2.20560741424561,7.156783393423709,Commonwealth of Independent States
Belize,50.0,5.95599985122681,6.19724231779575,5.71475738465786,1.08141779899597,34.79081967830659,0.547509372234344,0.240015640854836,0.0965810716152191,2.63195562362671,6.812317938745702,
Japan,51.0,5.92000007629395,5.99071944460273,5.84928070798516,1.43633782863617,70.59341531753543,0.505625545978546,0.12057276815176,0.163760736584663,1.36322355270386,7.256942887460143,East Asia
Lithuania,52.0,5.90199995040894,5.98266964137554,5.82133025944233,1.47351610660553,48.60525137901303,0.234231784939766,0.010164656676352,0.0118656428530812,2.22844052314758,7.18203469667386,Central and Eastern Europe
Algeria,53.0,5.87200021743774,5.97828643366694,5.76571400120854,1.1462174654007,47.72694142341611,0.233335807919502,0.0694366469979286,0.146096110343933,2.56760382652283,6.996557479268337,Middle East and North Africa
Latvia,54.0,5.84999990463257,5.92026353821158,5.77973627105355,1.40471494197845,49.34845550537107,0.325707912445068,0.153074786067009,0.0738427266478539,1.99365520477295,7.140253835306277,Central and Eastern Europe
South Korea,55.0,5.83799982070923,5.92255902826786,5.7534406131506,1.12827444076538,69.56854379653929,0.257921665906906,0.206674367189407,0.0632826685905457,1.88037800788879,7.24613886135703,East Asia
Moldova,56.0,5.83799982070923,5.90837083846331,5.76762880295515,1.25182557106018,45.55387072563168,0.240729048848152,0.208779126405716,0.0100912861526012,2.80780839920044,6.5928672996212745,Commonwealth of Independent States
Romania,57.0,5.82499980926514,5.91969415679574,5.73030546173453,1.15009129047394,52.94903437614439,0.457003742456436,0.133519917726517,0.00438790069893,2.17683148384094,7.105526794235423,Central and Eastern Europe
Bolivia,58.0,5.82299995422363,5.9039769025147,5.74202300593257,1.22761905193329,36.60214568138125,0.558732926845551,0.22556072473526,0.0604777261614799,2.44327902793884,6.727140144678025,Latin America and Caribbean
Turkmenistan,59.0,5.82200002670288,5.88518087550998,5.75881917789578,1.49314916133881,33.827471494674676,0.41827192902565,0.24992498755455,0.259270340204239,1.83290982246399,7.031544033451838,Commonwealth of Independent States
Kazakhstan,60.0,5.81899976730347,5.90364177465439,5.73435775995255,1.38436901569366,46.834891033172646,0.437454283237457,0.201964423060417,0.119282886385918,1.78489255905151,7.158946798323363,Commonwealth of Independent States
Northern Cyprus,61.0,5.80999994277954,5.89736646488309,5.72263342067599,1.18630337715149,64.50153857231139,0.471203625202179,0.266845703125,0.155353352427483,1.54915761947632,7.206311496392076,Western Europe
Slovenia,62.0,5.75799989700317,5.84222516000271,5.67377463400364,1.45251882076263,61.11520545959471,0.572575807571411,0.242649093270302,0.0451289787888527,1.31331729888916,7.202069774125936,Central and Eastern Europe
Peru,63.0,5.71500015258789,5.81194677859545,5.61805352658033,1.21877038478851,48.69923724174496,0.450002878904343,0.126819714903831,0.0470490865409374,2.20726943016052,6.9433398433697535,Latin America and Caribbean
Mauritius,64.0,5.62900018692017,5.72986219167709,5.52813818216324,1.20956099033356,49.30521666526797,0.491247326135635,0.360933750867844,0.0421815551817417,1.6975839138031,7.082040923239464,Sub-Saharan Africa
Cyprus,65.0,5.62099981307983,5.71469269931316,5.5273069268465,1.13136327266693,65.27955210685732,0.355111539363861,0.271254301071167,0.0412379764020443,1.62124919891357,7.212986026496676,Western Europe
Estonia,66.0,5.61100006103516,5.68813987419009,5.53386024788022,1.47667109966278,53.72260748863218,0.479131430387497,0.0988908112049103,0.183248922228813,1.35750865936279,7.186809745574357,Central and Eastern Europe
Belarus,67.0,5.56899976730347,5.64611424401402,5.49188529059291,1.44494521617889,49.28255853652958,0.295400261878967,0.15513750910759,0.156313821673393,1.72323298454285,7.054067512557297,Commonwealth of Independent States
Libya,68.0,5.52500009536743,5.67695380687714,5.37304638385773,1.35756433010101,40.19866184234622,0.465733230113983,0.152073666453362,0.0926102101802826,1.83501124382019,7.005610457842108,Middle East and North Africa
Turkiye,69.0,5.5,5.59486496329308,5.40513503670692,1.33775317668915,49.27416134834289,0.300740599632263,0.0466930419206619,0.0996715798974037,1.87927794456482,7.089471964551855,Middle East and North Africa
Paraguay,70.0,5.49300003051758,5.57738126963377,5.40861879140139,1.50728487968445,44.7644935798645,0.473507791757584,0.224150657653809,0.091065913438797,1.6853334903717,6.8389809378399775,Latin America and Caribbean
Hong Kong S.A.R. of China,71.0,5.47200012207031,5.54959417313337,5.39440607100725,1.26279091835022,72.87986417770387,0.490968644618988,0.374465793371201,0.293933749198914,0.554633140563965,7.347734427649691,East Asia
Philippines,72.0,5.42999982833862,5.54533505424857,5.31466460242867,1.25391757488251,36.16773974418639,0.585214674472809,0.193513423204422,0.0993318930268288,1.97260475158691,6.755418703985393,Southeast Asia
Serbia,73.0,5.39499998092651,5.49156965613365,5.29843030571938,1.25818979740143,50.29263939857482,0.208715528249741,0.220125883817673,0.0409037806093693,1.94708442687988,6.975710686474161,Central and Eastern Europe
Jordan,74.0,5.33599996566772,5.44841002240777,5.22358990892768,1.23908889293671,46.722719707489,0.418421149253845,0.172170460224152,0.11980327218771,1.79117655754089,6.899735601590138,Middle East and North Africa
Hungary,75.0,5.32399988174438,5.40303970918059,5.24496005430818,1.34313309192657,53.15035961151121,0.175863519310951,0.0784016624093056,0.0366369374096394,1.71645927429199,7.160078480498277,Central and Eastern Europe
Jamaica,76.0,5.31099987030029,5.58139872848988,5.04060101211071,1.36821806430817,49.538209848403966,0.474307239055634,0.233818337321281,0.0552677810192108,1.61232566833496,6.831499643209715,Latin America and Caribbean
Croatia,77.0,5.29300022125244,5.39177720457315,5.19422323793173,0.96798300743103,54.19557692527768,0.255772292613983,0.248002976179123,0.0431031100451946,1.85449242591858,7.109516842926727,Central and Eastern Europe
Kosovo,78.0,5.27899980545044,5.36484799548984,5.19315161541104,1.13785350322723,41.843414440154994,0.260287940502167,0.319931447505951,0.0574716180562973,2.01054072380066,6.8590737101762,Central and Eastern Europe
China,79.0,5.27299976348877,5.31927808977663,5.2267214372009,1.16083741188049,57.29658988952636,0.472787708044052,0.0288068410009146,0.0227942746132612,1.76493859291077,6.986719673692419,East Asia
Pakistan,80.0,5.26900005340576,5.35998364135623,5.17801646545529,0.672690689563751,31.07025268077852,0.23521526157856,0.315446019172668,0.124348066747189,2.79248929023743,6.590141049981115,South Asia
Indonesia,81.0,5.26200008392334,5.35288859814405,5.17111156970263,1.27444469928741,38.04847728252409,0.443323463201523,0.611704587936401,0.0153171354904771,1.42947697639465,6.904287866789108,Southeast Asia
Venezuela,82.0,5.25,5.3700319455564,5.1299680544436,1.43133759498596,47.69290586471557,0.153997123241425,0.0650196298956871,0.0644911229610443,1.78946375846863,7.029469423013631,Latin America and Caribbean
Montenegro,83.0,5.23699998855591,5.34104444056749,5.13295553654432,1.23837649822235,51.58166996955875,0.194989055395126,0.197911024093628,0.0881741940975189,1.72919154167175,7.022983084772811,Central and Eastern Europe
Morocco,84.0,5.2350001335144,5.31834096476436,5.15165930226445,0.774864435195923,46.19108050346375,0.408158332109451,0.0322099551558495,0.0877631828188896,2.45618939399719,6.778915243123963,Middle East and North Africa
Azerbaijan,85.0,5.23400020599365,5.29928653523326,5.16871387675405,1.15240025520325,41.79115196228029,0.398155838251114,0.0452693402767181,0.180987507104874,1.76248168945312,7.051510771841523,Commonwealth of Independent States
Dominican Republic,86.0,5.23000001907349,5.34906088516116,5.11093915298581,1.40241670608521,44.42624304771425,0.55258983373642,0.186967849731445,0.113945253193378,1.31946516036987,6.985062405147386,Latin America and Caribbean
Greece,87.0,5.22700023651123,5.3252461694181,5.12875430360436,1.23941457271576,62.61217123031614,0.0957312509417534,0.0,0.04328977689147,1.74922156333923,7.162775318311344,Western Europe
Lebanon,88.0,5.22499990463257,5.31888228848577,5.13111752077937,1.12962424755096,56.80706560134886,0.288515985012054,0.264450758695602,0.037513829767704,1.69507384300232,6.980994152093532,Middle East and North Africa
Portugal,89.0,5.19500017166138,5.28504173308611,5.10495861023665,1.36704301834106,61.50278889656068,0.498465299606323,0.0951027125120163,0.0158694516867399,1.10768270492554,7.182485305807948,Western Europe
Bosnia and Herzegovina,90.0,5.18200016021729,5.27633568674326,5.08766463369131,1.0693359375,54.49679783821104,0.204403176903725,0.328867495059967,0.0,1.89217257499695,6.891025531532799,Central and Eastern Europe
Honduras,91.0,5.18100023269653,5.30158279687166,5.0604176685214,1.14394497871399,45.020969409942644,0.348079860210419,0.236188873648643,0.0733454525470734,2.06581115722656,6.595197171354194,Latin America and Caribbean
North Macedonia,92.0,5.17500019073486,5.27217263966799,5.07782774180174,1.20789301395416,49.841595697402965,0.325905978679657,0.25376096367836,0.0602777935564518,1.6174693107605,6.971272594922906,Central and Eastern Europe
Somalia,93.0,5.15100002288818,5.24248370990157,5.0595163358748,0.721151351928711,8.809080516099904,0.602126955986023,0.291631311178207,0.282410323619843,3.11748456954956,3.1630748826772725,
Vietnam,94.0,5.07399988174438,5.14728076457977,5.000718998909,1.27749133110046,50.39961948394779,0.571055591106415,0.234968051314354,0.0876332372426987,1.46231865882874,6.671460092138239,Southeast Asia
