country,happiness_score,standard_error_of_happiness_score,upper_confidence_interval,lower_confidence_interval,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,explained_by:_log_gdp_per_capita,explained_by:_social_support,explained_by:_healthy_life_expectancy,explained_by:_freedom_to_make_life_choices,explained_by:_generosity,explained_by:_perceptions_of_corruption,dystopia_residual,happiness_rank
Nepal,5.36,0.075,5.510000000000001,5.21,8.256,0.748,61.847,0.808,0.146,0.783,1.778,0.979,1.027,0.281,0.567,0.215,0.104,2.187,78.0
Armenia,5.342,0.066,5.473999999999999,5.21,9.615,0.79,67.789,0.796,-0.155,0.705,1.778,1.466,1.134,0.443,0.551,0.053,0.16,1.534,79.0
Tajikistan,5.33,0.062,5.454,5.206,8.237,0.836,62.226,0.832,-0.06,0.522,1.778,0.972,1.248,0.291,0.599,0.104,0.292,1.823,80.0
Algeria,5.329,0.062,5.452999999999999,5.205,9.3,0.855,66.549,0.571,-0.117,0.717,1.778,1.353,1.298,0.409,0.252,0.073,0.152,1.791,81.0
Hong Kong S.A.R. of China,5.308,0.048,5.404,5.212,10.966,0.817,77.28,0.687,-0.026,0.385,1.778,1.951,1.201,0.702,0.407,0.123,0.39,0.535,82.0
Albania,5.277,0.066,5.409,5.1450000000000005,9.567,0.718,69.15,0.794,-0.007,0.878,1.778,1.449,0.951,0.48,0.549,0.133,0.037,1.678,83.0
Indonesia,5.277,0.059,5.3950000000000005,5.159,9.385,0.804,63.048,0.88,0.531,0.876,1.778,1.384,1.169,0.314,0.663,0.422,0.038,1.288,83.0
South Africa,5.275,0.073,5.421,5.1290000000000004,9.478,0.907,56.989,0.73,-0.087,0.902,1.778,1.417,1.428,0.149,0.464,0.09,0.019,1.708,85.0
Congo (Brazzaville),5.267,0.088,5.4430000000000005,5.091,8.095,0.605,56.85,0.73,-0.004,0.739,1.778,0.921,0.665,0.145,0.464,0.134,0.136,2.802,86.0
North Macedonia,5.254,0.055,5.364,5.143999999999999,9.703,0.805,66.5,0.769,0.131,0.902,1.778,1.498,1.171,0.408,0.515,0.207,0.02,1.435,87.0
Venezuela,5.211,0.064,5.339,5.083,5.527,0.839,64.05,0.659,0.128,0.811,1.778,0.0,1.257,0.341,0.369,0.205,0.084,2.955,88.0
Laos,5.111,0.081,5.273,4.949,8.962,0.679,60.946,0.919,0.091,0.703,1.778,1.232,0.853,0.257,0.715,0.185,0.162,1.707,89.0
Georgia,5.109,0.056,5.221,4.997,9.646,0.716,64.95,0.786,-0.254,0.649,1.778,1.477,0.947,0.366,0.539,0.0,0.201,1.58,90.0
Guinea,5.072,0.072,5.216,4.928,7.88,0.649,54.185,0.659,0.125,0.787,1.778,0.844,0.776,0.072,0.369,0.204,0.102,2.705,91.0
Ukraine,5.071,0.059,5.189,4.952999999999999,9.314,0.878,64.55,0.795,0.24,0.907,1.778,1.358,1.354,0.355,0.551,0.265,0.016,1.172,92.0
Ivory Coast,5.053,0.074,5.201,4.905,8.576,0.572,55.953,0.733,0.003,0.746,1.778,1.094,0.584,0.12,0.467,0.138,0.131,2.519,93.0
Gabon,5.035,0.072,5.179,4.891,9.537,0.746,58.252,0.642,-0.187,0.786,1.778,1.438,1.021,0.183,0.346,0.036,0.102,1.908,94.0
